2026-08-07|Felipe|codigo_quebrado|execucao_teste|chamou _soma_faixas antes de a funcao existir
2026-08-07|Felipe|codigo_quebrado|execucao_teste|pmfs.values desempacotado em 2 quando virou 3-tupla, so quebrou no dado real
2026-08-07|Felipe|codigo_quebrado|execucao_teste|arquivo de teste escrito por heredoc com escapes colapsados, SyntaxError
2026-08-07|Felipe|codigo_quebrado|execucao_teste|igualdade de float num teste
2026-08-07|Felipe|codigo_quebrado|execucao_teste|nota do release combinado de 2025-12-16 nao era gravada
2026-08-07|Felipe|alucinacao_numerica|autocorrecao|comecou a implementar janela_slots com valor cravado, que e parametro da Lia
2026-08-07 (sessao 2)|Felipe|codigo_quebrado|execucao_teste|contagem de dias acima do teto poluida por erro de float
2026-08-07 (sessao 2)|Felipe|codigo_quebrado|execucao_teste|barra vertical sem escape no cabecalho da tabela gerada
2026-08-07 (sessao 2)|Felipe|generalizacao|autocorrecao|afirmou que a formula c sobre 1 mais c previa a queda da soma de w quando preve a do tilt
2026-08-07 (sessao 2)|Felipe|alucinacao_numerica|autocorrecao|data e estatisticas da primeira ruina cravadas a mao no texto gerado
2026-08-07 (sessao 6)|Felipe|alucinacao_numerica|execucao_teste|diagnostico da 2.3 baseado no arquivo errado, binario de um bucket em vez da PMF completa
2026-08-07 (sessao 6)|Felipe|codigo_quebrado|execucao_teste|lookahead entre rodadas da varredura por limpar so metade do estado expansivo
2026-08-07 (sessao 6)|Felipe|codigo_quebrado|so_depois|bloco __main__ no meio do test_bl_integration deixava 4 testes sem rodar
2026-08-07 (sessao 6)|Felipe|codigo_quebrado|so_depois|dois arquivos de teste chamavam nome de funcao anterior a um rename, NameError
2026-08-07 (sessao 7)|Felipe|codigo_quebrado|so_depois|constante VIEWS_ATIVAS morta e desatualizada em src/config.py
2026-08-07 (sessao 8)|Felipe|codigo_quebrado|so_depois|fl_correction binaria passada como correcao da PMF nas views 2.2 e 2.3
2026-08-07 (sessao 8)|Felipe|alucinacao_numerica|so_depois|numero dito de memoria, 27 dias degenerados fora da janela, errado em duas das tres partes
2026-08-07 (sessao 8)|Felipe|generalizacao|so_depois|prosa fixa do curva_c afirmava que o c nao muda o resultado
2026-08-07 (sessao 9)|Felipe|codigo_quebrado|execucao_teste|teste de monotonicidade da banda nasceu falso-verde com carteira que nao gira
